vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Marrakech,2023.0,Automatique,Diesel,110000.0,Opel,Corsa,5.0,WW au Maroc,,,,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essaouira,2011.0,Manuelle,Diesel,170000.0,Mitsubishi,Pajero,5.0,WW au Maroc,Non,10.0,Excellent,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2009.0,Automatique,Diesel,20000.0,Volkswagen,Touareg,5.0,,,,,80000,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
Casablanca,2013.0,Automatique,Diesel,110000.0,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Non,8.0,Excellent,179000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Tanger,2015.0,Manuelle,Diesel,190000.0,Dacia,Dokker,3.0,WW au Maroc,,,,118000,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1
Casablanca,2017.0,Manuelle,Diesel,65000.0,Volkswagen,Tiguan,5.0,Dédouanée,Non,8.0,Excellent,265000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Agadir,2022.0,Automatique,Essence,70000.0,Fiat,500,5.0,WW au Maroc,Oui,6.0,Excellent,129000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2010.0,Manuelle,Diesel,190000.0,Volkswagen,Touareg,5.0,Dédouanée,Non,10.0,Excellent,95000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marrakech,2023.0,Manuelle,Diesel,65000.0,Renault,Clio,5.0,WW au Maroc,Oui,6.0,Excellent,149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2021.0,Manuelle,Diesel,110000.0,Renault,Clio,5.0,WW au Maroc,Oui,6.0,Très bon,129000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Tanger,2018.0,Manuelle,Diesel,200000.0,Fiat,Doblo,3.0,WW au Maroc,Non,6.0,Bon,95000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Tanger,2023.0,Automatique,Diesel,20000.0,Skoda,Octavia,5.0,WW au Maroc,Oui,8.0,Excellent,325000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2021.0,Automatique,Diesel,35000.0,Peugeot,3008,5.0,WW au Maroc,Oui,8.0,Excellent,275000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2005.0,Automatique,Diesel,250000.0,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,9.0,Excellent,99000,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Marrakech,2018.0,Automatique,Diesel,140000.0,Land Rover,Range Rover Evoque,5.0,Importée neuve,Non,8.0,Excellent,255000,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2019.0,Manuelle,Diesel,150000.0,Seat,Leon,5.0,WW au Maroc,Oui,8.0,Neuf,204000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rabat,2015.0,Automatique,Diesel,90000.0,Jeep,Wrangler,5.0,Importée neuve,Oui,11.0,Excellent,250000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marrakech,2023.0,Automatique,Diesel,40000.0,Fiat,Tipo,5.0,WW au Maroc,Oui,6.0,Excellent,168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2025.0,Automatique,Diesel,0.0,Renault,Clio,5.0,Pas encore dédouanée,Oui,6.0,Neuf,300000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Tanger,2020.0,Manuelle,Essence,40000.0,Fiat,500,3.0,WW au Maroc,Oui,9.0,Excellent,122000,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
El Jadida,2013.0,Manuelle,Diesel,0.0,Renault,Megane,5.0,WW au Maroc,Non,6.0,Excellent,99000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Agadir,2015.0,Manuelle,Diesel,160000.0,Seat,Ibiza,5.0,WW au Maroc,Oui,6.0,Excellent,108000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Marrakech,2013.0,Manuelle,Diesel,180000.0,Opel,Astra,5.0,WW au Maroc,Oui,7.0,Excellent,115000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Agadir,2022.0,Manuelle,Diesel,100000.0,Citroën,C3,5.0,WW au Maroc,Oui,6.0,Très bon,140000,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
Casablanca,2016.0,Manuelle,Diesel,170000.0,Opel,Astra,5.0,WW au Maroc,Non,8.0,Excellent,117000,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1
